계층1,계층2,계층3,계층4,계층5,설명,수정 필요성,수정 이유 및 세부사항
,,,New Joiners,,,신규 가입자,X,
TraderDetailsModal,,,,,트레이더 상세 정보 모달,X,
,Modal Header,,,,모달 헤더,X,
,,Close Button,,,닫기 버튼,X,
,,Trader Info,,,트레이더 기본 정보,X,
,,,Avatar & Name,,아바타 및 이름,X,
,,,Handle & Badge,,핸들 및 배지,X,
,,,Follow Button,,팔로우/언팔로우 버튼,X,
,Performance Overview,,,,성과 개요,X,
,,Key Metrics,,,주요 지표,X,
,,,Total ROI,,총 수익률,X,
,,,Win Rate,,승률,X,
,,,Total Trades,,총 거래 횟수,X,
,,,AUM,,운용자산,X,
,,,Followers,,팔로워 수,X,
,,,Member Since,,가입일,X,
,,Performance Chart,,,성과 차트,X,
,,,Time Period Selector,,기간 선택기 (1M/3M/6M/1Y/All),X,
,,,ROI Chart,,수익률 차트,X,
,,,Benchmark Comparison,,벤치마크 비교,X,
,Trading Activity,,,,거래 활동,X,
,,Recent Trades,,,최근 거래,X,
,,,Trade Items,,거래 항목,X,
,,,,Symbol,심볼,X,
,,,,Side,매수/매도,X,
,,,,Price,가격,X,
,,,,Size,크기,X,
,,,,PnL,손익,X,
,,,,Timestamp,시간,X,
,,Trading Statistics,,,거래 통계,X,
,,,Average Trade Size,,평균 거래 크기,X,
,,,Largest Win,,최대 수익,X,
,,,Largest Loss,,최대 손실,X,
,,,Sharpe Ratio,,샤프 비율,X,
,,,Max Drawdown,,최대 드로다운,X,
,Portfolio Holdings,,,,포트폴리오 보유 현황,X,
,,Current Positions,,,현재 포지션,X,
,,,Position Items,,포지션 항목,X,
,,,,Index Name,인덱스 명,X,
,,,,Position Size,포지션 크기,X,
,,,,Entry Price,진입 가격,X,
,,,,Current Value,현재 가치,X,
,,,,Unrealized PnL,미실현 손익,X,
,,Portfolio Allocation,,,포트폴리오 배분,X,
,,,Allocation Chart,,배분 차트 (도너츠/파이),X,
,,,Top Holdings,,주요 보유 자산,X,
,Social & Copy Trading,,,,소셜 및 카피 트레이딩,X,
,,Copy Trading Button,,,카피 트레이딩 버튼,X,
,,Social Stats,,,소셜 통계,X,
,,,Comments Count,,댓글 수,X,
,,,Likes Count,,좋아요 수,X,
,,,Shares Count,,공유 수,X,
,,Recent Posts,,,최근 게시글,X,
,,,Post Items,,게시글 항목,X,
Mobile Responsive,,,,모바일 반응형 대응,X,
,Mobile Layout,,,,모바일 전용 레이아웃,X,
,,Compact Trader Cards,,,축약된 트레이더 카드,X,
,,Swipeable Filters,,,스와이프 가능한 필터,X,
,,Bottom Sheet Modal,,,하단 시트 모달 (상세 정보),X,
,,Pull to Refresh,,,당겨서 새로고침,X,
,,Infinite Scroll,,,무한 스크롬 로딩,X
